price,reviews_per_month,accommodates,bathrooms,bedrooms,beds,property_type,room_type,neighbourhood,minimum_nights
38,3.25,2,1,1,1,House,Private room,West Roxbury,1
63,3.94,1,1,1,1,Other,Private room,Roxbury,2
269,1.37,8,1.5,3,4,Apartment,Entire home/apt,Roxbury,3
110,0.28,2,1,1,1,Apartment,Entire home/apt,South End,30
130,7.02,3,1,0,2,Apartment,Entire home/apt,Roxbury,2
159,2.37,5,1,2,3,Apartment,Entire home/apt,North End,28
159,2.53,6,1,2,3,Apartment,Entire home/apt,North End,28
85,2.5,4,1,1,2,Apartment,Entire home/apt,Fenway,3
89,1.58,1,1,1,1,Apartment,Entire home/apt,North End,31
195,3.03,9,2,4,4,Apartment,Entire home/apt,Jamaica Plain,2
90,1.54,1,1,1,1,House,Private room,Jamaica Plain,2
36,0.14,1,2,1,1,Apartment,Private room,Roxbury,91
36,0.02,1,1,1,1,Apartment,Private room,Roxbury,91
310,0.32,4,2,2,3,Apartment,Entire home/apt,West End,20
250,2.86,8,1,2,5,Apartment,Entire home/apt,East Boston,1
150,1.6,2,1,0,1,Apartment,Entire home/apt,South End,1
35,0.07,1,2,1,1,Apartment,Private room,Roxbury,91
49,0.31,1,1,1,1,Apartment,Entire home/apt,Brighton,91
305,1.02,4,1.5,2,2,Apartment,Entire home/apt,Beacon Hill,3
250,0.02,3,1,1,2,Apartment,Entire home/apt,Brighton,91
450,1.76,12,2,5,7,House,Entire home/apt,Brighton,3
65,0.36,2,1,1,1,House,Private room,Brighton,91
41,0.05,2,2,1,1,House,Private room,Allston,91
65,0.4,2,1,1,1,House,Private room,Brighton,91
24,0.63,1,1,1,1,House,Private room,Mattapan,25
200,0.09,4,1,1,2,Apartment,Entire home/apt,Beacon Hill,91
122,3.27,2,2.5,1,1,House,Private room,South Boston,2
99,5.17,2,1,0,2,Apartment,Entire home/apt,Allston,180
195,0.13,3,1,1,2,Apartment,Entire home/apt,West End,20
200,3.1,15,2.5,3,6,Other,Entire home/apt,Roslindale,91
175,2.82,2,1,0,1,Apartment,Entire home/apt,Downtown,10
250,0.1,2,1,2,1,Apartment,Entire home/apt,Beacon Hill,91
200,1.63,3,1,2,2,Apartment,Entire home/apt,Beacon Hill,2
300,1.77,4,1.5,2,2,House,Entire home/apt,South Boston,3
88,5.26,8,1.5,3,4,Other,Entire home/apt,Allston,4
45,0.49,1,2,1,1,House,Private room,Dorchester,2
60,0.38,2,1,1,1,Apartment,Private room,Jamaica Plain,3
76,2.41,2,1,1,1,House,Private room,South Boston,5
300,1.57,4,1.5,2,2,Apartment,Entire home/apt,Roxbury,3
250,0.05,10,2.5,5,5,House,Entire home/apt,Jamaica Plain,91
180,3.52,4,1,2,2,Apartment,Entire home/apt,Jamaica Plain,2
49,0.43,2,1,1,2,House,Private room,Jamaica Plain,1
400,0.15,12,3.5,3,6,House,Entire home/apt,Roxbury,2
42,0.13,1,1,1,1,Apartment,Private room,Roxbury,91
62,1.31,2,1,1,1,Other,Entire home/apt,East Boston,28
130,0.39,3,1,2,2,House,Entire home/apt,Roslindale,91
195,0.56,4,1,2,2,House,Entire home/apt,East Boston,91
36,0.04,1,2,1,1,Apartment,Private room,Roxbury,91
240,0.02,2,1,1,1,Other,Entire home/apt,North End,91
285,1.9,6,2,3,3,Apartment,Entire home/apt,Mission Hill,3
159,1.96,4,1,0,2,Apartment,Entire home/apt,Roxbury,3
185,4.01,5,1,2,3,Apartment,Entire home/apt,Back Bay,10
46,1.96,2,1,1,1,House,Private room,Jamaica Plain,1
166,2.09,4,1,2,2,Apartment,Entire home/apt,Brighton,91
637,2.04,7,2,4,4,Apartment,Entire home/apt,Beacon Hill,30
81,0.68,2,1,1,0,House,Private room,Jamaica Plain,2
148,5.29,4,1,2,2,Apartment,Entire home/apt,Beacon Hill,1
200,1.29,4,1,1,1,Apartment,Entire home/apt,Roxbury,91
150,1.93,2,1,0,1,Apartment,Entire home/apt,South End,1
300,1.95,5,1,2,2,Apartment,Entire home/apt,South End,1
225,1.66,3,2,2,2,Other,Entire home/apt,Charlestown,2
28,0.14,1,1,1,1,Apartment,Private room,Roxbury,91
150,1.84,2,1,0,1,Apartment,Entire home/apt,South End,1
150,2.48,2,1,0,1,Apartment,Entire home/apt,South End,1
250,1.12,2,1,0,2,House,Entire home/apt,South Boston,4
